,Date,News
774,2016-01-21,Asia Securities estimates 5-6 percent GDP growth and 3-pct inflation in 2016
775,2016-01-20,Sri Lanka stocks closed down 0.3-pct
776,2016-01-20,Interview: Attractive returns on Sri Lanka bonds due to volatility
777,2016-01-18,Tony Weerasinghe launches online retail brokerage Ustocktrade
778,2016-01-17,Sri Lanka stocks down 1.9-pct; 18 month low
779,2016-01-14,CCP by first quarter 2017: CSE Chairman
780,2016-01-13,Sri Lanka stocks up after 7 days of losses; bargain hunting
781,2016-01-12,Sri Lanka stocks close with highest intra-day loss in 5 months    
782,2016-01-12,Medium term growth prospects for Sri Lanka market: CT CLSA
783,2016-01-12,"An investor to park USD1 bln in dollar deposits, says Finance Minister"
784,2016-01-11,SEC advises TKS Securities over possible violation of rules
785,2016-01-08,Sri Lanka stocks close down 0.7-pct
786,2016-01-07,Sri Lanka stocks close at 18-month low
787,2016-01-07,"Anemic EM weigh on global growth, South Asia a bright spot: World Bank"
788,2016-01-07,"Global equities off to poor start, Brent crude at 11-year low"
789,2016-01-06,Sri Lanka stocks close down 0.4-pct: Foreign participation 83-pct  
790,2016-01-06,Sri Lanka’s Orient Finance to raise Rs1bn through IPO
791,2016-01-06,CSE obtains exchange control approval to list foreign companies
792,2016-01-06,HNB Grameen shares to be listed in CSE
793,2016-01-06,"Sri Lanka, Pakistan consider currency swap agreement"
794,2016-01-05,Sri Lanka stocks close down 0.3-pct
795,2016-01-05,Foreign funds overweight on India bonds
796,2016-01-05,"US, European markets tumble after China rout"
797,2016-01-01,"Sri Lanka interest rates tied to inflation, Fed: CB Governor"
798,2015-12-31,Sri Lanka’s CSE removes share transaction levy
799,2015-12-31,Sri Lanka stocks close up 0.3-pct
800,2015-12-31,Sri Lanka economy grew 5.2 pct in first nine months : CB-Updated
801,2015-12-30,"Sri Lanka Central Bank tightens monetary policy, increases SRR"
802,2015-12-30,Sri Lanka stocks close up 0.3-pct
803,2015-12-29,Rs50 bln in bonds likely privately placed by Sri Lanka Central Bank
804,2015-12-29,"PTL Watch: Bit of buying, monetary policy awaited"
805,2015-12-28,Turnaround in int’l tech IPOs possible in 2016
806,2015-12-23,Sri Lanka stocks close higher 0.06-pct
807,2015-12-22,Sri Lanka stocks close down 0.4-pct: 21 month low
808,2015-12-21,Sri Lanka stocks close lower 0.04-pct: Five month low  
809,2015-12-17,Sri Lanka requests India to extend USD 1.5bn swap facility by one year
810,2015-12-17,We are not dictated by IMF policy: Finance Minister
811,2015-12-16,S&P Dow Jones announces changes in S&P Sri Lanka 20 index
812,2015-12-15,Fed liftoff largely priced in by emerging markets: ABN AMRO
813,2015-12-11,"Sri Lanka stocks close up 0.1-pct, high institutional activity"
814,2015-12-11,"Sri Lanka * market update * Asian markets mixed, Brent 39.47; CTHR traded"
815,2015-12-10,Sri Lanka stocks close down 0.3-pct:Turnover high
816,2015-12-09,Sri Lanka stocks close down 0.1-pct: Eight and a half month low
817,2015-12-09,Sri Lanka has borrowings of USD1.5 bln in pipeline for next year
818,2015-12-09,"Sri Lanka well placed with end of war, new infrastructure: IMF’s Kvintradze"
819,2015-12-08,Sri Lanka stocks close down 0.1-pct  
820,2015-12-07,Sri Lanka stocks close down 0.2-pct: Low investor activity   
821,2015-12-07,"Debt Report: Thin activity in Sri Lanka markets, liquidity surplus dips"
822,2015-12-07,FCID arrests Nalaka Godahewa over misuse of SEC funds
823,2015-12-07,CSE sets mandatory rules on Related Party Transactions
824,2015-12-07,Sri Lanka’s CSE eyes more global investors through new CCP
825,2015-12-04,Sri Lanka stocks close down 0.2-pct: Net foreign outflow
826,2015-12-04,"Sri Lanka equity earnings down 6 pct in Q3 on diversifieds, telcos: CT CLSA"
827,2015-12-03,Sri Lanka stocks close up 0.3-pct
828,2015-12-02,Sri Lanka stocks close down 0.5-pct: Institutional activity
829,2015-12-01,Single party owns 95 pct of govt securities available to foreign investors
830,2015-11-30,Sri Lanka stocks close down 0.75-pct: Near eight month low
831,2015-11-27,Stocks: Three reasons Euro area stocks are compelling
832,2015-11-27,China stocks fall 5.4 pct on brokerage probes
833,2015-11-27,Sri Lanka stocks close lower 0.04-pct: Continued loses in JKH and banks
834,2015-11-26,Sri Lanka stocks close down 0.7-pct: JKH losses
835,2015-11-26,Several IPOs slated for CSE next year
836,2015-11-26,Colombo Stock Exchange moving ahead with CCP
837,2015-11-24,Interest rates unchanged after monetary policy meeting
838,2015-11-23,Sri Lanka stocks close up 0.5-pct: Budget gains
839,2015-11-19,Sri Lanka stocks close up 0.5-pct: JKH gains
840,2015-11-19,Poll: Sri Lanka market evenly divided on possible US rate change
841,2015-11-18,Sri Lanka stocks close higher 0.06-pct: Budget concerns
842,2015-11-17,Sri Lanka stocks close up 0.2-pct: Gains in blue chips
843,2015-11-16,Sri Lanka stocks close down 0.5-pct: Banking and Telco losses
844,2015-11-16,"Analysis: Asian, Sri Lankan equities attractive on GARY valuation, says CLSA"
845,2015-11-16,Markets react to uncertainty after Paris attacks
846,2015-11-13,Sri Lanka stocks close lower 0.06-pct
847,2015-11-13,"Unusual U.S. financial market moves defy logic, say analysts"
848,2015-11-11,Sri Lanka stocks close down 0.4-pct: Banking losses  
849,2015-11-10,Sri Lanka’s Candor 5-year unit trust public offer oversubscribed
850,2015-11-10,Asian stocks open lower with stronger Fed rate hike possibility
851,2015-11-09,"Infrastructure: Negotiating position crucial in structuring deals, say experts"
852,2015-11-05,Sri Lanka stocks close up 0.2-pct: Blue chip gains  
853,2015-11-04,Sri Lanka stocks close higher 0.05-pct: Lack of policy direction  
854,2015-11-03,Sri Lanka stocks close down 0.4-pct: Turnover 14 week low
855,2015-11-02,Sri Lanka stocks close down 0.2-pct: Low investor activity
856,2015-11-02,"Interview: Three cases reopened, investigation division to expand in Nov, says SEC Chairman"
857,2015-10-29,Sri Lanka stocks close down 0.3-pct: Net foreign out flow 319mn
858,2015-10-28,Sri Lanka stocks close up 0.15-pct: Institutional buying
859,2015-10-28,Sri Lanka raises USD1.5bn in Sovereign Bond issue: report
860,2015-10-27,Sri Lanka 10-year sovereign bond gets orders over USD2.5 bn: report
861,2015-10-26,Sri Lanka stocks close flat on six week low
862,2015-10-26,"Sri Lanka growth moderating, new equilibrium on currency"
863,2015-10-23,Sri Lanka stocks close up 0.2-pct
864,2015-10-22,Sri Lanka stocks close up 0.2-pct driven by retail activity
865,2015-10-19,Sri Lanka stocks close lower 0.05-pct ahead of monetary policy review 
866,2015-10-19,PTL Watch: Bond yields edge up amid more foreign selling
867,2015-10-19,"CSE to promote Sri Lanka with Zurich, London roadshows this month"
868,2015-10-16,Poll: Central Bank expected to hold interest rates unchanged
869,2015-10-16,Sri Lanka stocks close down 0.1-pct with foreign inflow  
870,2015-10-15,Sri Lanka stocks close down 0.1-pct at three-month low
871,2015-10-14,Sri Lanka stocks close down 0.5-pct
872,2015-10-13,Sri Lanka stocks close down 0.3-pct: Budget concerns
873,2015-10-13,"Candor to list 5-year unit trust on CSE, makes public offer"
874,2015-10-12,"Sri Lanka stocks close higher 0.06-pct, Telco gains"
875,2015-10-12,"Sri Lanka has full support of WB, IMF says Finance Minister"
876,2015-10-08,"Sri Lanka stocks close flat, Net foreign out flow"
877,2015-10-08,PTL Watch: Foreign buying seen in Sri Lanka bonds
878,2015-10-07,"Sri Lanka stocks close flat, low turnover"
879,2015-10-07,PTL Watch: Tbill auction unchanged as short term bonds head north
880,2015-10-06,Sri Lanka stocks close down 0.04-pct: Banking losses
881,2015-10-06,"PTL Watch: Moderate activity, local buying matches foreign selling in bonds"
882,2015-10-05,Sri Lanka stocks close down 0.23-pct: Two week low
883,2015-10-05,"PTL Watch: Little activity, selling in 6-yr and 13-yr bonds"
884,2015-10-02,PTL Watch: Foreign outflow of USD1.15 bn from Sri Lanka govt bonds
885,2015-10-02,Sri Lanka stocks up 0.3-pct
886,2015-10-01,"Sri Lanka stocks up 0.4-pct, healthy foreign inflow"
887,2015-10-01,PTL Report: 3-Year bond rises 30 basis points
888,2015-10-01,Sri Lanka’s Bank of Ceylon debenture oversubscribed
889,2015-09-30,Sri Lanka stocks down 0.5-pct: JKH losses
890,2015-09-30,Sri Lanka’s deflation increases to 0.3 pct in Sept from 0.2 pct in Aug
891,2015-09-29,Sri Lanka stocks up 0.10-pct: Net foreign inflow
892,2015-09-28,Free flow of information vital for financial markets: CB Governor
893,2015-09-28,Colombo Stock Exchange to transform into a sustainable stock exchange
894,2015-09-28,"Sri Lanka stocks edge lower, turnover at five week high"
895,2015-09-25,Central bank holds rates unchanged; private sector credit  up 21 pct
896,2015-09-25,"Sri Lanka stocks edge lower, turnover picks up"
897,2015-09-23,Sri Lanka stocks close down 0.05-pct
898,2015-09-23,Asian stocks hit by falling commodity prices in US   
899,2015-09-22,Sri Lanka stocks close up 0.2-pct on three week high: Poultry gains
900,2015-09-22,Asian stocks rebound following gains in US and Europe  
901,2015-09-21,Sri Lanka stocks close down 0.05-pct: Low investor activity  
902,2015-09-21,Debt report: Sri Lanka market watchful after IMF comments
903,2015-09-21,"Asian markets lower on Fed intransigence, Tsipras wins Greece election"
904,2015-09-19,"Asiri Hospital to sell shares to Actis Investment, up stake in Central Hospital"
905,2015-09-18,Sri Lanka stocks close down 0.08-pct: JKH losses
906,2015-09-18,Asian stocks mixed following Fed decision to hold rates  
907,2015-09-17,"Sri Lanka can attract Japanese companies, bank: ambassador"
908,2015-09-17,Sri Lanka’s Land Rover sees growing local demand
909,2015-09-16,Sri Lanka’s Dialog increases stake in wow.lk
910,2015-09-16,Sri Lanka stocks close down 0.2-pct; Banking and finance losses following CB directive
911,2015-09-16,Bank of Japan holds rates flat despite economic contraction
912,2015-09-15,Sri Lanka stocks close down 0.14-pct: Lack of direction for investors
913,2015-09-14,Wall Street deeply divided on this week’s rate decision
914,2015-09-11,"Sri Lanka’s spending on dairy imports up 18-pct in 2014, exports drop 8-pct"
915,2015-09-11,US DOJ issues new guidelines on corporate fraud prosecution
916,2015-09-10,Sri Lanka stocks close down 0.3-pct; Asian markets lower
917,2015-09-10,China’s stock crash a direct result of authoritarian policies: Razeen Sally
918,2015-09-10,Emerging market central bankers want Fed to raise rates: report
919,2015-09-09,Sri Lanka stocks close up 0.8-pct; More retail activity
920,2015-09-09,Sri Lanka stocks open up 0.2-pct as investor sentiment changes
921,2015-09-08,Stocks close down 0.3-pct; seven week low
922,2015-09-08,"Russia’s ruble collapse tied to energy prices, volatility to continue"
923,2015-09-07,Sri Lanka stocks close down 0.9-pct
924,2015-09-07,"Orient Finance gets Central Bank approval for listing, IPO"
925,2015-09-07,"Depreciation will help some equity sectors, ease uncertainty: Bartleet Religare"
926,2015-09-04,Sri Lanka stocks close down 0.4-pct: Low investor activity
927,2015-09-03,"Sri Lanka stocks close higher 0.07-pct, net foreign outflow"
928,2015-09-03,Asian stocks up as China takes long week-end break
929,2015-09-02,Sri Lanka stocks close down 0.8-pct
930,2015-09-02,Global markets plunge on weak China factory data
931,2015-09-01,Sri Lanka stocks close down 0.1-pct: Profit taking
932,2015-09-01,Sri Lanka Markets: liquidity at Rs25 Bn; USD/LKR 134.50
933,2015-08-31,Sri Lanka stocks close down 0.6-pct: Low investor activity
934,2015-08-28,Sri Lanka stocks close up 1-pct: JKH gains
935,2015-08-27,Fitch Maintains Ceylon Income Fund on Rating Watch Negative
936,2015-08-27,"US markets rally, appears to shake off China worries"
937,2015-08-26,CHC mandatory offer for Taprobane Holdings
938,2015-08-26,"China cuts interest rates, global markets weigh move"
939,2015-08-25,Some China researchers see yuan at 7 by year end: report
940,2015-08-25,"Asian markets volatile; China extends losses, ASPI drops 1 pct"
941,2015-08-24,Stocks close down 1.9-pct amid global market uncertainty
942,2015-08-22,Stock markets fall most in 4 Years on worries about China
943,2015-08-21,Sri Lanka stocks close up 0.3-pct
944,2015-08-20,Sri Lanka stocks close down 0.6-pct
945,2015-08-17,Sri Lanka stocks close up 0.4 –pct; investors optimistic
946,2015-08-14,Sri Lanka stocks close up 0.3 -pct: CSE trading will stop at mid day on 17 Aug
947,2015-08-13,Sri Lanka stocks close down 0.4 -pct: Profit taking
948,2015-08-11,Sri Lanka stocks close up 1.2-pct
949,2015-08-10,Sri Lanka stocks close higher 0.10-pct
950,2015-08-07,Sri Lanka stocks close lower 0.09-pct
951,2015-08-05,Sri Lanka stocks close up 0.8 -pct:  Six-month high
952,2015-08-03,Sri Lanka stocks close higher 0.06-pct
953,2015-07-28,Sri Lanka stocks close up 0.2-pct
954,2015-07-27,Sri Lanka stocks close down 0.3-pct
955,2015-07-27,"China stocks plunge over 8-pct, largest intraday loss since 2007"
956,2015-07-27,Sri Lanka’s SEC says transparency of information is the key for development
957,2015-07-24,Sri Lanka stocks close up 0.8-pct
958,2015-07-24,New mobile device to access CSE trading on the go
959,2015-07-23,Sri Lankan economy expands 5.1-pct in Q1 2015 after rebasing
960,2015-07-23,Sri Lanka‘s tea exports fall for eigth consecutive month
961,2015-07-21,Sri Lanka stocks close lower 0.03-pct
962,2015-07-20,Sri Lanka stocks close down 0.2-pct
963,2015-07-17,Sri Lanka stocks close up 0.5-pct
964,2015-07-16,Sri Lanka stocks close up 0.8-pct: Two week high
965,2015-07-15,Sri Lanka stocks close up 0.6-pct: Banking gains
966,2015-07-14,Sri Lanka stocks close up 0.3-pct Turnover low
967,2015-07-12,Sri Lanka’s CSE signs MoU with Maldivian counterpart
968,2015-07-10,Sri Lanka stocks close up 0.5-pct
969,2015-07-09,Sri Lanka stocks close up 0.3-pct; JKH gains
970,2015-07-09,Fitch Ratings corrects Sri Lanka’s USD Bond at ‘BB-(EXP)’
971,2015-07-08,Sri Lanka stocks close down 0.6-pct; JKH lower
972,2015-07-08,Sri Lanka Stock Market up 15-pct by April 2015: Report
973,2015-07-07,Sri Lanka stocks close down 0.3-pct on 12 week low
974,2015-07-01,Lanka Rating Agency not entitled in law to carry on business as a Credit Rating Agency nor review ratings: SEC
975,2015-06-30,Sri Lanka North calls for private investments
976,2015-06-25,Stocks close down 0.3-pct ahead of possible polls call
977,2015-06-24,Sri Lanka stocks close flat
978,2015-06-24,SEC considers introducing a mandatory rating for stock broking firms : SEC Head
979,2015-06-23,Sri Lanka stocks close up 0.20-pct: JKH gains
980,2015-06-22,Sri Lanka stocks close higher 0.06-pct
981,2015-06-22,Sri Lanka’s state-owned enterprises in commercial business skew the market: Mano
982,2015-06-22,Watawala Plantation share purchase by T Sinthilverl
983,2015-06-19,Sri Lanka stocks close down 0.4-pct : Telcos make losses
984,2015-06-18,Stocks close up 0.2 pct; JKH makes gains
985,2015-06-17,Sri Lanka stocks close higher 0.07-pct: Nestle declines 9-pct in June
986,2015-06-16,Sri Lanka stocks close down 0.5-pct: JKH recording losses
987,2015-06-16,Sri Lanka securities regulator to allow short selling in equity markets
988,2015-06-15,Sri Lanka stocks close up 0.3-pct for second straight day
989,2015-06-12,Sri Lanka stocks close up 0.1-pct following four days of losses
990,2015-06-11,Sri Lanka stocks close down 0.2-pct; Foreigners net sellers
991,2015-06-10,Sri Lanka stocks close down 0.2-pct for third straight day
992,2015-06-09,Sri Lanka stocks close down 0.2-pct: Political uncertainty keeps investors away
993,2015-06-09,"What should come first in Sri Lanka’s debt market, Regulation or Development?"
994,2015-06-08,Sri Lanka stocks close down 0.6-pct; JKH reaches 52 week low
995,2015-06-05,Stocks close higher 0.03-pct; Records lowest turnover since 20 April
996,2015-06-04,Stocks Close Down 0.4-pct; Political Uncertainty Keeps Investors Away
997,2015-06-03,Sri Lanka stocks close down 0.6-pct
998,2015-06-03,CSE Push For New Product Development
999,2015-06-03,Sri Lanka CSE records highest ever foreign inflow last year: 2014 CSE Annual Report
1000,2015-05-29,Sri Lanka stocks close down 0.5-pct; JKH hits 52 week low
1001,2015-05-28,Sri Lanka stocks close higher 0.03-pct
1002,2015-05-28,Sri Lanka’s CSE says 25-pct price appreciation in 28 companies
1003,2015-05-27,Sri Lanka stocks close down despite T-Bill yield drop and dividend announcements
1004,2015-05-26,Sri Lanka stocks slump with investors taking profits
1005,2015-05-22,Sri Lanka’s stocks surge on positive earnings reports
1006,2015-05-22,Sri Lanka should move from debt finance led growth to export and FDI directed growth: Saman Kelegama
1007,2015-05-21,Sri Lanka stocks close down 0.22-pct
1008,2015-05-19,Sri Lanka stocks close up at 0.15-pct
1009,2015-05-18,Sri Lanka stocks close lower at 0.05-pct
1010,2015-05-15,Sri Lanka stocks close up at 0.3-pct
1011,2015-05-14,Sri Lanka’s CSE turnover crosses Rs5bn during mid-day trade boosted by Ceylinco deal
1012,2015-05-13,Sri Lanka stocks close down at 0.2-pct
1013,2015-05-13,Sri Lanka to be on par with regional CDS in next 3 yrs: CDS head
1014,2015-05-12,Sri Lanka stocks close up at 0.6-pct
1015,2015-05-11,Sri Lanka stocks close higher at 0.02-pct
1016,2015-05-08,Sri Lanka stocks close flat
1017,2015-05-07,Sri Lanka stocks close up 0.3-pct
1018,2015-05-07,Sri Lanka CDS to host regional training seminar for depositories
1019,2015-05-05,“Investing in stock market is risky business”: Ceylon Tobacco Company
1020,2015-05-05,Sri Lanka stocks close up 0.32-pct
1021,2015-04-30,Sri Lanka stocks close up 0.08-pct
1022,2015-04-28,Sri Lanka’s SEC sympathetic towards controversial Citrus Kalpitiya Beach Resort; EGM postponed
1023,2015-04-28,Sri Lanka stocks close up 0.1-pct
1024,2015-04-28,Sri Lanka’s CSE takes over SAFE Chairmanship
1025,2015-04-28,Sri Lanka stocks close up 0.1-pct
1026,2015-04-27,Sri Lanka stocks close flat
1027,2015-04-24,Sri Lanka stocks close higher at 0.3-pct
1028,2015-04-23,Sri Lanka stocks close lower at 0.04-pct
1029,2015-04-22,Sri Lanka stocks close higher at 0.3-pct
1030,2015-04-21,Sri Lanka stocks close higher at 0.3-pct
1031,2015-04-20,Sri Lanka stocks close lower at 0.1 –pct with political uncertainty keeping investors away
1032,2015-04-20,Sri Lanka Singer’s proposed debenture issue rated ‘A-(lka)(EXP)’ : Fitch
1033,2015-04-17,Sri Lanka stocks close up 0.1-pct
1034,2015-04-10,Sri Lanka stocks close flat
1035,2015-04-10,Sri Lanka SEC appoints Vajira Wijegunawardene as the new DG
1036,2015-04-09,Sri Lanka’s Colombo Stock Exchange increases listing fees
1037,2015-04-08,Sri Lanka’s Fitch affirms Hemas’ debt at ‘A+(lka)’; revises outlook to positive
1038,2015-04-08,Sri Lanka’s Fitch rates Central Finance’s proposed senior debt ‘A+(lka)(EXP)’
1039,2015-04-01,Sri Lanka stocks close up 1.4-pct; JKH rings the opening bell
1040,2015-04-01,Sri Lanka stocks close up 1.4-pct; JKH rings the opening bell
1041,2015-03-31,Sri Lanka’s stocks close up 0.6-pct
1042,2015-03-30,Sri Lanka’s stocks close down 1.3-pct
1043,2015-03-27,Fitch affirms HSBC Sri Lanka branch at ‘AAA(lka)’; outlook stable
1044,2015-03-27,Fitch affirms Sri Lanka Telecom at ‘BB-: New taxes will hasten industry consolidation
1045,2015-03-27,Sri Lanka Siyapatha Finance PLC rated ‘A(lka)’ with a stable outlook : Rating agency
1046,2015-03-27,Sri Lanka’s AMW Capital Leasing and Finance upgraded to ‘BBB+(lka)’ : Fitch Ratings
1047,2015-03-26,Sri Lanka shares down 0.7-pct
1048,2015-03-26,Sri Lanka’s Softlogic Finance rights oversubscription caters to private sector credit demand
1049,2015-03-26,Sri Lanka venture engine call for fresh business proposals
1050,2015-03-25,Sri Lanka’s Fitch withdraws rating on John Keells Holdings
1051,2015-03-25,Sri Lanka shares downturn continued following a mid-day crash
1052,2015-03-25,Sri Lanka’s govt. should start acting on LLRC recommendations soon to avoid international sanctions: State Minister
1053,2015-03-25,Sri Lanks’s stock market crashes in mid-day trading today
1054,2015-03-25,"Sri Lanka’s fashion retailer Odel buys Softlogic brands : Macro economic growth, tourism trend drives the decision"
1055,2015-03-23,Sri Lanka’s markets needs to be patient till call for election and new govt. settles in: CSE Chief
1056,2015-03-22,Sri Lanka CSE to set up a clearing house with UK’s BTA Consulting
1057,2015-03-13,Fitch affirms Dialog Axiata’s ‘AAA(lka)’ rating despite tax change: Profits will suffer
1058,2015-03-13,Sri Lanka’s prospects on crucial European GSP Plus facility is looking brighter
1059,2015-03-11,Colombo Stock Exchange to host a series of workshops to empower investors
1060,2015-03-11,Sri Lanka’s gem industry calls for increasing export earnings through value addition: EDB
1061,2015-03-10,Sri Lanka’s President to probe irregularities in the stock market
1062,2015-03-10,Sri Lanka development bonds oversubscribed by 3.45 times
1063,2015-03-06,Sri Lanka Softlogic Capital’s stated capital reduced
1064,2015-03-04,Sri Lanka’s Guardian Acuity Asset Management launches low risk gilt fund
1065,2015-03-04,Port City
1066,2015-03-03,Sri Lanka new ruler’s telco taxes are credit negative : Dialog to be affected more : Fitch
1067,2015-03-02,Fitch rates National Development Bank’s senior debentures ‘AA-(lka)(EXP)’
1068,2015-03-02,Sri Lanka construction sector eyed by Turkish investors
1069,2015-02-27,Sri Lanka’s tax on liquor manufacturers to boost market share of Distilleries Corp: Fitch
1070,2015-02-26,Sri Lanka Hayleys’s Rs2bn debt issue oversubscribed
1071,2015-02-20,Sri Lanka’s Cargills says the new regime has revisit the ‘deemed VAT’
1072,2015-02-19,Sri Lanka Hayleys to issue debentures
1073,2015-02-19,Fitch rates Sri Lanka’s Singer Finance’s Proposed Senior Debt ‘BBB (lka)(EXP)’
1074,2015-02-19,Sri Lanka new government had not yet decided to stop ‘Port City’
1075,2015-02-18,Sri Lanka’s new administration ordered to release ‘Frontline’ magazine issue
1076,2015-02-18,Sri Lanka Softlogic December net up 10-pct
1077,2015-02-17,Sri Lanka’s Power Ministry to set up island-wide charging centers for electric cars
1078,2015-02-17,Sri Lanka’s NDB to issue Rs7.5bn listed debt
1079,2015-02-17,Sri Lanka’s Janashakthi Limited changes name
1080,2015-02-16,Sri Lanka Insurance gets a new chairman
1081,2015-02-16,Sri Lanka’s Cargills gets US$20mn of IFC investment
1082,2015-02-12,Sri Lanka Aitken Spence December 2014 net down 19-pct
1083,2014-12-02,Sri Lanka stocks close down 0.6-pct
1084,2014-12-01,Sri Lanka stocks close up 1.7-pct
1085,2014-11-27,Sri Lanka stocks close down 0.9-pct
1086,2014-11-26,Sri Lanka stocks close down 0.8-pct
1087,2014-11-25,Sri Lanka stocks close higher
1088,2014-11-24,Sri Lanka stocks near fifteen month intra day drop over political environment in the Island
1089,2014-11-20,Sri Lanka stocks close higher
1090,2014-11-19,Sri Lanka stocks close down 0.3-pct
1091,2014-11-18,Sri Lanka stocks close up 0.3-pct
1092,2014-11-17,Sri Lanka stocks close up 0.3-pct
1093,2014-11-14,Sri Lanka stocks close up 0.3-pct
1094,2014-11-13,Sri Lanka stocks close higher
1095,2014-11-12,Sri Lanka stocks close up 0.8-pct
1096,2014-11-11,Sri Lanka stocks close higher
1097,2014-11-07,Sri Lanka stocks close up 0.8-pct
1098,2014-11-05,Sri Lanka stocks close up 0.5-pct
1099,2014-11-04,Sri Lanka stocks close down 0.44-pct
1100,2014-11-03,Sri Lanka stocks close up 0.36-pct
1101,2014-10-31,Sri Lanka stocks close up 0.4-pct
1102,2014-10-30,Sri Lanka stocks close up 0.4-pct
1103,2014-10-29,Sri Lanka stocks close up 0.5-pct
1104,2014-10-28,Sri Lanka stocks close higher
1105,2014-10-27,Sri Lanka stocks close up 0.1-pct
1106,2014-10-23,Sri Lanka stocks close up 0.4-pct
1107,2014-10-21,Sri Lanka stocks close down 0.7-pct
1108,2014-10-20,Sri Lanka shares close down 0.3-pct
1109,2014-10-17,Sri Lanka stocks close down 0.31-pct
1110,2014-10-16,Sri Lanka stocks close down 0.44-pct
1111,2014-10-15,Sri Lanka shares close up 1.16-pct
1112,2014-10-13,Sri Lanka stocks close down 1.9-pct
1113,2014-10-10,Sri Lanka stocks close down 0.9-pct
1114,2014-10-09,Sri Lanka stocks close down 0.13-pct
1115,2014-10-07,Sri Lanka stocks close down 0.14-pct
1116,2014-10-04,Sri Lanka fund manager hopes to target wider base
1117,2014-10-03,Sri Lanka stocks close up 0.8-pct
1118,2014-10-01,Sri Lanka stocks close up 0.6-pct
1119,2014-09-30,Sri Lanka stocks close up 0.2-pct
1120,2014-09-29,Sri Lanka stocks close higher
1121,2014-09-26,Sri Lanka stocks close higher
1122,2014-09-25,Sri Lanka stocks close down 0.3-pct
1123,2014-09-24,Sri Lanka stocks close down 0.1-pct
1124,2014-09-23,Sri Lanka stocks close higher
1125,2014-09-22,Sri Lanka stocks close up 0.3-pct
1126,2014-09-19,Sri Lanka stocks close up 0.4-pct
1127,2014-09-18,Sri Lanka stocks close up 0.4-pct
1128,2014-09-17,Sri Lanka stocks close higher
1129,2014-09-16,Sri Lanka stocks close higher
1130,2014-09-15,Sri Lanka stocks close down 0.61-pct
1131,2014-09-12,Sri Lanka stocks close up 0.27-pct
1132,2014-09-11,Sri Lanka stocks close up 0.5-pct
1133,2014-09-10,Sri Lanka stocks close up 0.56-pct
1134,2014-09-09,Sri Lanka stocks close up 0.5-pct
1135,2014-09-05,Sri Lanka stocks close up 0.4-pct
1136,2014-09-04,Sri Lanka stocks close up 0.2-pct
1137,2014-09-02,Sri Lanka stocks close down 0.1-pct
1138,2014-09-01,Sri Lanka stocks close lower
1139,2014-08-29,Sri Lanka stocks close up 0.6-pct
1140,2014-08-28,Sri Lanka stocks close up 0.1-pct
1141,2014-08-27,Sri Lanka shares close down 0.4-pct
1142,2014-08-26,Sri Lanka stocks close up 0.4-pct
1143,2014-08-25,Sri Lanka stocks close down 0.3-pct
1144,2014-08-22,Sri Lanka stocks close higher
1145,2014-08-21,Sri Lanka stocks close up 0.1-pct
1146,2014-08-20,Sri Lanka shares close up 0.3-pct
1147,2014-08-19,Sri Lanka shares close up 0.1-pct
1148,2014-08-18,Sri Lanka shares close up 0.4-pct
1149,2014-08-15,Sri Lanka stocks close down 0.4-pct
1150,2014-08-14,Sri Lanka stocks close up 0.3-pct
1151,2014-08-13,Sri Lanka stocks close up 0.1-pct
1152,2014-08-12,Sri Lanka shares close up 0.1-pct
1153,2014-08-11,Sri Lanka stocks close up 0.4-pct
1154,2014-08-08,Sri Lanka stocks close up 0.1-pct
1155,2014-08-07,Sri Lanka stocks close up 1.1-pct
1156,2014-08-06,Sri Lanka stocks close up 0.3-pct
1157,2014-08-05,Sri Lanka stocks close down 0.1-pct
1158,2014-08-04,Sri Lanka stocks close up 0.2-pct
1159,2014-08-01,Sri Lanka stocks close lower
1160,2014-08-01,Sri Lanka stocks close lower
1161,2014-07-31,Sri Lanka stocks close up 0.2-pct
1162,2014-07-30,Sri Lanka shares close up 0.3-pct
1163,2014-07-28,Sri Lanka shares close higher
1164,2014-07-25,Sri Lanka shares close higher
1165,2014-07-24,Sri Lanka shares close lower
1166,2014-07-23,Sri Lanka shares close down 0.2-pct
1167,2014-07-22,Sri Lanka stocks close up 0.6-pct
1168,2014-07-21,Sri Lanka stocks close up 0.5-pct
1169,2014-07-18,Sri Lanka stocks close flat
1170,2014-07-17,Sri Lanka shares close down 0.3-pct
1171,2014-07-16,Sri Lanka shares close up 0.2-pct
1172,2014-07-15,Sri Lanka shares close up 0.4-pct
1173,2014-07-14,Sri Lanka stocks close up 0.6-pct
1174,2014-07-11,Sri Lanka shares close down 0.1-pct
1175,2014-07-10,Sri Lanka shares close up 0.8-pct
1176,2014-07-09,Sri Lanka shares close up 0.7-pct
1177,2014-07-08,Sri Lanka stocks close up 1.0-pct
1178,2014-07-07,Sri Lanka stocks close up 0.3-pct
1179,2014-07-04,Sri Lanka stocks close up 0.2-pct
1180,2014-07-03,Sri Lanka stocks close up 0.5-pct
1181,2014-07-02,Sri Lanka stocks close up 0.9-pct
1182,2014-07-01,Sri Lanka shares close lower
1183,2014-06-30,Sri Lanka shares close up 0.2-pct
1184,2014-06-28,Freight Charge
